Decision,Abbr,State,Status,Law Passed,Status Detail,Milestones,Source Name,Source URL
,MD,Maryland,passed,"Maryland SB 901 (Packaging and Paper Products Producer Responsibility Plans Act) was signed into law on May 13, 2025. Implementing regulations adopted by MDE on May 5, 2026 became effective May 25, 2026. Covered materials include primary, secondary, and tertiary packaging of all material types (plastic film, paper, metal, glass), plus service packaging such as carry-out bags and bulk goods bags.","MDE adopted its first set of implementing regulations on May 5, 2026, published in the Maryland Register on May 15, 2026, and effective May 25, 2026; these regulations focus on the registration process. The Circular Action Alliance (CAA) is the sole approved PRO; producers were required to register and submit a simplified supply report to CAA by May 31, 2026, and the PRO must file a registration form with MDE by July 1, 2026. MDE has indicated additional rulemakings will follow, with a full Producer Responsibility Plan due October 1, 2028.","SB 901 signed into law by Governor Moore — May 13, 2025 | MDE published draft regulations and guidance — February 6, 2026 | Final implementing regulations adopted by MDE — May 5, 2026 | Regulations effective — May 25, 2026 | CAA producer registration and simplified supply report deadline — May 31, 2026 | PRO registration form due to MDE (with producer/brand/material list) — July 1, 2026 | MDE to publish list of recyclable/compostable covered materials — July 1, 2027 | Producer Responsibility Plan due to MDE — July 1, 2028","Beveridge & Diamond — Maryland Becomes Sixth State to Enact Packaging EPR (updated March 19, 2026); Holland & Knight — Maryland Finalizes First Set of EPR Regulations (May 27, 2026); Circular Action Alliance — Maryland Program Page; Maryland Department of the Environment — Producer Responsibility Program Page; MDE Draft Guidance Document for EPR Packaging and Paper Products (February 2026)",https://www.bdlaw.com/publications/maryland-becomes-sixth-state-to-enact-packaging-extended-producer-responsibility-washington-expected-to-follow/ ; https://www.hklaw.com/en/insights/publications/2026/05/maryland-finalizes-first-set-of-epr-regulations ; https://circularactionalliance.org/circular-action-alliance-maryland ; https://mde.maryland.gov/programs/land/WasteManagement/Pages/ProducerResponsibility.aspx ; https://mde.maryland.gov/programs/regulations/land/Documents/Proposed_Guidance%20Document%20for%20EPR%20PPP%2026.04.15_v0_FEB2026.pdf
,MA,Massachusetts,pending,"No comprehensive packaging EPR law has been enacted in Massachusetts. Two standalone packaging EPR bills (S.571 and H.926) remain pending in their respective Ways and Means committees. A separate large environmental bond bill, S.3050 (Mass Ready Act), passed the Senate on April 15, 2026 with a single-use plastic bag ban provision, but the House stripped that bag ban; the House and Senate versions are now in conference committee with the legislative session technically expired as of July 31, 2026.","The Massachusetts EPR Commission issued its final report on January 15, 2026, recommending further study of packaging EPR (including a needs assessment) but not endorsing any specific EPR bill. Standalone packaging EPR bills S.571 and H.926 remain stalled in committee. S.3050 (Mass Ready Act) — which included a Senate-passed single-use plastic bag prohibition affecting retail carry-out bags, with recyclable paper bags allowed at a 10-cent fee — had its bag ban stripped by the House Ways and Means Committee in June 2026; the bill is now in a conference committee with House and Senate negotiators working to reconcile differences as the session clock has run out.","Dec. 2024: Gov. Healey signed law (Chapter 239, Acts of 2024) establishing the Massachusetts EPR Commission under MassDEP | April 2025: EPR Commission held inaugural meeting; began work on paint, mattresses, batteries, electronics, and packaging | Dec. 9, 2025: EPR Commission voted to recommend a packaging needs assessment rather than endorsing a specific EPR bill | Jan. 15, 2026: EPR Commission issued final report; did not endorse S.571 or H.926 but recommended further packaging study | April 8, 2026: Senate Ways and Means Committee advanced S.3050 (Mass Ready Act) including single-use plastic bag ban | April 15, 2026: Massachusetts Senate passed S.3050 (36-3) with plastic bag ban and paint EPR provisions; sent to House | June 2026: House Ways and Means Committee released its version of S.3050, stripping the plastic bag ban | July–Aug. 2026: S.3050 in conference committee; S.571 and H.926 remain pending in committee; no packaging EPR law enacted","Mass.gov – EPR Commission; Mass Legislature – Bill S.3050 (194th); Mass Legislature – Bill H.926 (194th); Mass Senate Press Release – Senate Passes Mass Ready Act (Apr. 15, 2026); Mass Senate Press Release – S.3050 Fact Sheet (Apr. 8, 2026); Waste Dive – Massachusetts Senate passes bill with waste/packaging impacts (Apr. 16, 2026); Packaging Dive – Massachusetts Senate passes bill addressing bags, foam, foodservice packaging (Apr. 16, 2026); Boston Globe – Mass Ready Act: plastic bag ban omitted, $3.1B for resilience (Jun. 17, 2026); Waste Dive – Massachusetts EPR Commission endorses some EPR plans, punts on packaging (Dec. 11, 2025); Proskauer – EPR Packaging Law Update (Jul. 1, 2026); Sustainable Packaging Coalition – Packaging Policy Roundup (Jun. 22, 2026); Mystic River Watershed Association – Mass Ready Act in conference committee (Jul. 30, 2026)",https://www.mass.gov/info-details/extended-producer-responsibility-commission ; https://malegislature.gov/Bills/194/S3050 ; https://malegislature.gov/Bills/194/H926 ; https://malegislature.gov/PressRoom/Detail?pressReleaseId=364 ; https://malegislature.gov/PressRoom/Detail?pressReleaseId=357 ; https://www.wastedive.com/news/massachusetts-environmental-bill-epr-plastic-reduction-waste/817643/ ; https://www.packagingdive.com/news/massachusetts-environmental-bill-epr-plastic-reduction-waste/817713/ ; https://www.bostonglobe.com/2026/06/16/science/mass-ready-act-house-plastic-bags/ ; https://www.wastedive.com/news/massachusetts-epr-commission-packaging-needs-assessment/807492/ ; https://www.proskauer.com/alert/extended-producer-responsibility-packaging-law-update ; https://sustainablepackaging.org/2026/06/22/packaging-policy-news/ ; https://mysticriver.org/news/2026/7/30/checking-in-on-the-mass-ready-act
,MI,Michigan,pending,"Michigan HB 5902 (2024), a comprehensive packaging EPR bill covering all packaging types, was introduced in July 2024 but did not pass and died at the end of the 2024 legislative session. No new Michigan packaging EPR bill has been introduced in 2025 or 2026 to date.","HB 5902 was introduced on July 31, 2024 by Rep. Abraham Aiyash (D) and referred to the House Committee on Natural Resources, Environment, Tourism and Outdoor Recreation, but did not advance before the session ended. As of mid-2026, Michigan has no enacted comprehensive packaging EPR law and no confirmed reintroduction of a successor bill in the current legislative session. Michigan is noted among states with recycling-related bills still active in 2026, but no specific new packaging EPR bill number has been confirmed.","July 31, 2024: HB 5902 introduced, covering all packaging types; referred to House committee on Natural Resources, Environment, Tourism and Outdoor Recreation | End of 2024 legislative session: HB 5902 did not pass; bill expired without advancing out of committee | March 2026: CSG Midwest confirms HB 5902 of 2024 was introduced but not advanced; no successor bill identified | Mid-2026: Michigan listed among states with active recycling bills but no new packaging EPR bill number publicly confirmed",Michigan Legislature – HB 5902 of 2024 (official bill page); CSG Midwest – EPR for Packaging in the Midwest (March 2026); Sustainable Packaging Coalition – EPR Guide to All Policies; Sustainable Packaging Coalition – Packaging Policy News (Sept. 2025); Holland & Knight – State EPR Laws Update (Jan. 2026); Proskauer – 2025 Guide to EPR Packaging Compliance,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2024-HB-5902 ; https://csgmidwest.org/2026/03/11/most-states-have-some-type-of-extended-producer-responsibility-statute-minnesota-is-implementing-one-new-to-the-midwest-epr-for-packaging/ ; https://epr.sustainablepackaging.org/policies ; https://sustainablepackaging.org/2025/09/23/packaging-policy-news/ ; https://www.hklaw.com/en/insights/publications/2026/01/the-latest-pandoras-box-what-you-need-to-know-now-about-state-epr-laws ; https://www.proskauer.com/alert/the-2025-guide-to-epr-packaging-compliance
,MN,Minnesota,passed,"Minnesota's Packaging Waste and Cost Reduction Act (HF 3911, Minn. Stat. §§ 115A.144–115A.1463) was signed into law on May 21, 2024. The law is active and in implementation. The MPCA issued a notice of intent to develop implementing rules on May 15, 2026, and the preliminary assessment was published in February 2026. The full needs assessment is due December 31, 2026.","The law covers all packaging and packaging components — including flexible films, poly bags, plastic film (including boat wrap), paper, food packaging, and paper products — sold, distributed, or used to ship products into Minnesota, including e-commerce shipments. Circular Action Alliance (CAA) was confirmed as the state's PRO on February 18, 2025; producers were required to register with CAA by July 1, 2025. On May 15, 2026, the MPCA issued a formal notice of intent to develop rules to clarify definitions, exemptions, collection lists, and stewardship plan requirements under the Act, with public rulemaking now underway.","May 21, 2024: Governor Walz signed HF 3911 (Packaging Waste and Cost Reduction Act) into law | February 18, 2025: MPCA confirmed Circular Action Alliance as Minnesota's PRO | July 1, 2025: Producer registration deadline with CAA | February 2026: MPCA published preliminary assessment of Minnesota packaging and recycling infrastructure (conducted by Eunomia Research & Consulting) | May 15, 2026: MPCA issued notice of intent to develop implementing rules for the PWCRA | December 31, 2026: Full needs assessment due to EPR Advisory Board | January 1, 2032: All covered materials must be reusable, recyclable, compostable, or managed via approved alternative collection system","Minnesota Pollution Control Agency – EPR for Packaging (official program page); Minnesota Pollution Control Agency – PWCRA Assessments; Minnesota Pollution Control Agency – February 2026 Preliminary Assessment (PDF); Beveridge & Diamond – Minnesota Becomes Fifth State to Enact EPR Law for Packaging; Fredrikson & Byron – MPCA Intends to Develop Rules to Implement EPR Law (May 2026); Fredrikson & Byron – Key Compliance Deadlines Begin July 1, 2025; Proskauer – 2025 Guide to EPR Packaging Compliance; Circular Action Alliance – Producer Registration Now Open for Minnesota; CSG Midwest – Minnesota Implementing EPR for Packaging (March 2026); Resource Recycling – Minnesota Publishes Prelim EPR Assessment (February 2026)",https://www.pca.state.mn.us/air-water-land-climate/extended-producer-responsibility-for-packaging ; https://www.pca.state.mn.us/air-water-land-climate/assessments ; https://www.pca.state.mn.us/sites/default/files/w-ps1-09.pdf ; https://www.bdlaw.com/publications/minnesota-becomes-fifth-state-to-enact-epr-law-for-packaging-and-paper-first-to-enact-epr-law-for-boat-wrap/ ; https://www.fredlaw.com/alert-mpca-intends-to-develop-rules-to-implement-extended-producer-responsibility-law ; https://www.fredlaw.com/alert-minnesota-enacts-extended-producer-responsibility-epr-law-key-compliance-deadlines-begin-july-1-2025 ; https://www.proskauer.com/alert/the-2025-guide-to-epr-packaging-compliance ; https://circularactionalliance.org/news-feed/producer-registration-now-open-for-minnesotas-new-packaging-epr-program ; https://csgmidwest.org/2026/03/11/most-states-have-some-type-of-extended-producer-responsibility-statute-minnesota-is-implementing-one-new-to-the-midwest-epr-for-packaging/ ; https://resource-recycling.com/recycling/2026/02/20/minnesota-publishes-prelim-epr-needs-assessment/
,MO,Missouri,pending,"Missouri HB 3504, the 'Producer Responsibility Program for Statewide Recycling Act,' was introduced on February 26, 2026, and referred to the House Emerging Issues Committee on May 15, 2026. It did not advance further before the 2026 legislative session adjourned.","HB 3504 would require producers of packaging and paper products (including all packaging formats) to join or form a nonprofit Producer Responsibility Organization (PRO) to fund and manage a statewide recycling system, with covered producers paying annual dues. The bill was referred to the House Emerging Issues Committee on May 15, 2026 — its last recorded action — and remained at an early committee stage with no floor vote or further progression before session end. Multiple sources characterize Missouri's EPR effort as exploratory rather than imminent.","February 26, 2026: HB 3504 introduced in the Missouri House as a partisan (Democrat-sponsored) bill | May 15, 2026: Bill referred to House Emerging Issues Committee — last recorded action before 2026 session adjourned sine die","LegiScan – Missouri HB3504 (2026 Regular Session); Sustainable Packaging Coalition – EPR Policy Tracker; EY – US Packaging EPR in 2026: Costs and Compliance; FEDA – Missouri, Rhode Island Weigh EPR Laws Targeting Packaging (April 20, 2026); National Law Review – Packaging EPR Laws and Compliance Obligations; Sustainable Packaging Coalition – Packaging Policy News (May 21, 2026)",https://legiscan.com/MO/bill/HB3504/2026 ; https://epr.sustainablepackaging.org/policies ; https://www.ey.com/en_us/insights/sustainability/us-packaging-epr-in-2026-costs-and-compliance ; https://www.feda.com/news/missouri-rhode-island-weigh-epr-laws-targeting-packaging ; https://natlawreview.com/article/extended-producer-responsibility-laws-expand-across-states-key-compliance-deadlines ; https://sustainablepackaging.org/2026/05/21/packaging-policy-news/
,MT,Montana,none,"Montana HB 477 (2025) — a bill to phase out single-use expanded polystyrene (EPS) foam food containers — passed both legislative chambers but was vetoed by Gov. Greg Gianforte on May 1, 2025. No EPR packaging law has passed in Montana, and no new EPR packaging bill has been introduced since.","HB 477, sponsored by Rep. Marilyn Marler (D-Missoula), passed the House 56-41 and the Senate 26-22, then was vetoed by Gov. Gianforte on May 1, 2025, one day after the 69th Legislative Session adjourned. A veto override is considered unlikely, and no new Montana packaging EPR or material-ban bill has been identified in the 2026 legislative period. Montana's legislature meets only in odd-numbered years, so the next regular session is 2027.","HB 477 introduced by Rep. Marilyn Marler (D-Missoula), 69th Montana Legislature, 2025 session | HB 477 passed Montana House 56-41 | HB 477 passed Montana Senate 26-22 | Gov. Greg Gianforte vetoed HB 477 on May 1, 2025, citing government overreach and cost | Veto override deemed unlikely; no further action reported | No Montana EPR packaging bill identified in 2026 legislative period",Sustainable Packaging Coalition – Packaging Policy News (June 2025); Daily Montanan – Governor vetoes HB 477 (May 2025); Missoulian – Gov. Gianforte vetoes HB 477; Holland & Knight – State EPR Laws Alert (January 2026); Montana Legislature – Official Bill Page (legmt.gov); Montana Free Press Capitol Tracker – HB 477; Montana Environmental Information Center – HB 477 / Microplastics Coverage; Proskauer – 2025 Guide to EPR Packaging Compliance,https://sustainablepackaging.org/2025/06/23/packaging-policy-news/ ; https://dailymontanan.com/2025/05/06/stryofoaming-at-the-mouth-montana-governor-vetoes-bill-that-would-phase-out-use-in-food-industry/ ; https://missoulian.com/news/state-regional/government-politics/article_27739843-0772-565d-84bd-960980778c0b.html ; https://www.hklaw.com/en/insights/publications/2026/01/the-latest-pandoras-box-what-you-need-to-know-now-about-state-epr-laws ; https://www.legmt.gov/ ; https://projects.montanafreepress.org/capitol-tracker-2025/bills/hb-477/ ; https://meic.org/concerns-around-microplastics-and-pfas-creates-coalitions/ ; https://www.proskauer.com/alert/the-2025-guide-to-epr-packaging-compliance
,NE,Nebraska,none,"Nebraska LB 607 (Extended Producer Responsibility Data Collection Act, Minimum Recycled Content Act, and Environmental Stewardship of Batteries Act) was originally introduced January 2025, carried over and reintroduced January 7, 2026, and was indefinitely postponed on April 17, 2026 — the final day of the 2026 legislative session. No EPR packaging law has passed in Nebraska.","LB 607 covered EPR data collection for packaging (requiring producer registration and annual material-volume reporting), minimum recycled content requirements, and battery stewardship. It was indefinitely postponed on April 17, 2026, when the Nebraska Legislature adjourned. Per the Sustainable Packaging Coalition, all Nebraska EPR and packaging bills that did not pass in 2026 must be fully reintroduced in 2027.","January 22, 2025: LB 607 introduced in the 109th Nebraska Legislature | February 27, 2025: Bill received committee public hearing | February 2025: Last recorded committee activity in the 2025 session | January 7, 2026: LB 607 carried over and reintroduced for the 2026 session | April 17, 2026: LB 607 indefinitely postponed; Nebraska Legislature adjourned",Proskauer Rose LLP – EPR Packaging Law Update (July 2026); Mondaq / Proskauer – EPR Packaging Law Update (July 2026); LegiScan – Nebraska LB607 2025-2026 (109th Legislature); Sustainable Packaging Coalition – Packaging Policy Roundup (June 2026); Sustainable Packaging Coalition – Packaging Policy Roundup (July 2026); Nebraska Legislature – LB 607 Fiscal Note (Official); Resource Recycling – Packaging EPR bills take shape in a dozen states (April 2025),https://www.proskauer.com/alert/extended-producer-responsibility-packaging-law-update ; https://www.mondaq.com/unitedstates/environmental-law/1813312/extended-producer-responsibility-epr-packaging-law-update ; https://legiscan.com/NE/bill/LB607/2025 ; https://sustainablepackaging.org/2026/06/22/packaging-policy-news/ ; https://sustainablepackaging.org/2026/07/29/packaging-policy-news/ ; https://nebraskalegislature.gov/FloorDocs/109/PDF/FN/LB607_20250226-115352.pdf ; https://resource-recycling.com/recycling/2025/04/04/packaging-epr-bills-take-shape-in-a-dozen-states/
,NH,New Hampshire,none,"New Hampshire HB 1789-FN (2026), an EPR packaging bill introduced January 7, 2026, was killed on February 19, 2026 via a House vote adopting a motion to deem it 'Inexpedient to Legislate.' No EPR packaging law has passed in New Hampshire.","HB 1789-FN was introduced to the New Hampshire House of Representatives on January 7, 2026, and would have established a packaging reduction program requiring producers selling or distributing products in packaging to pay stewardship fees based on quantity and type of packaging — covering all packaging types including plastic, film, paper, and similar materials. On February 19, 2026, the House adopted a motion deeming the bill 'Inexpedient to Legislate,' formally ending its progress for the current session. No successor bill or reintroduction has been identified as of the current date.","January 7, 2026: HB 1789-FN introduced in the New Hampshire House of Representatives | February 19, 2026: House adopted 'Inexpedient to Legislate' motion — bill formally killed for the 2026 session","LegiScan – NH HB1789 2026 Regular Session (bill text and status); Ropes & Gray – Ten Recent US Packaging EPR Developments (Feb. 24, 2026); Holland & Knight – The Latest Pandora's Box: What You Need to Know Now About State EPR Laws (Jan. 22, 2026); Sustainable Packaging Coalition – EPR Guide: All Policies (NH HB 1789 entry); Sustainable Packaging Coalition – Packaging Policy Roundup (May 21, 2026)",https://legiscan.com/NH/text/HB1789/id/3291777 ; https://www.ropesgray.com/en/insights/viewpoints/102mk4f/ten-recent-us-packaging-epr-developments-for-legal-and-compliance-professionals ; https://www.hklaw.com/en/insights/publications/2026/01/the-latest-pandoras-box-what-you-need-to-know-now-about-state-epr-laws ; https://epr.sustainablepackaging.org/policies ; https://sustainablepackaging.org/2026/05/21/packaging-policy-news/
,NJ,New Jersey,pending,"New Jersey Packaging and Paper Product Stewardship Act (S673 / A3744) — re-filed in both chambers on January 13, 2026, after prior-session bills (S3398, S208) expired at the end of the 2024–2025 legislative session; no law enacted as of August 2026.","The bill, which covers primary, secondary, and tertiary packaging including paper and plastic, was advanced through the Senate Environment and Energy Committee in February 2025 under its prior number (S3398) and re-filed as S673/A3744 at the start of the new legislative session on January 13, 2026. New Jersey is one of only two states whose packaging EPR bills carry over from 2026 into 2027, meaning the legislation remains active but has not yet passed. No comprehensive packaging EPR law has been enacted in New Jersey as of June–August 2026.","S3398 (Packaging and Paper Product Stewardship Act) advanced out of Senate Environment and Energy Committee — February 10, 2025 | Prior-session bills S3398 and S208 expired at the January 13, 2026 end-of-session deadline | Bill re-filed as S673 / A3744 in both chambers on January 13, 2026 | S673/A3744 confirmed as active and carrying over into 2027 legislative session — as of June 2026","Proskauer Rose LLP — EPR Packaging Law Update (July 1, 2026); Holland & Knight — State EPR Laws Alert (January 22, 2026); Mayer Brown — EPR Packaging Laws Moving from Concept to Compliance (February 9, 2026); Sustainable Packaging Coalition — Packaging Policy Roundup (June 22, 2026); Sustainable Packaging Coalition — Packaging Policy Roundup (May 21, 2026); NJ Senate Democrats — Smith Bill Advances (February 10, 2025); New Jersey Monitor — Senate Panel Approves Bill to Reduce Packaging Waste (February 10, 2025)",https://www.proskauer.com/alert/extended-producer-responsibility-packaging-law-update ; https://www.hklaw.com/en/insights/publications/2026/01/the-latest-pandoras-box-what-you-need-to-know-now-about-state-epr-laws ; https://www.mayerbrown.com/en/insights/publications/2026/02/epr-packaging-laws-moving-from-concept-to-compliance ; https://sustainablepackaging.org/2026/06/22/packaging-policy-news/ ; https://sustainablepackaging.org/2026/05/21/packaging-policy-news/ ; https://www.njsendems.org/CivicAlerts.aspx?AID=609 ; https://newjerseymonitor.com/2025/02/10/senate-panel-approves-bill-to-reduce-packaging-waste/
,NY,New York,pending,"New York Packaging Reduction and Recycling Infrastructure Act (PRRIA), SB S1464A / AB A1749A, failed to pass in the 2026 legislative session. The legislature adjourned in early June 2026 without the Assembly voting on the bill. The bill remains pending and not enacted.","The New York legislature adjourned in June 2026 without passing PRRIA (S1464A / A1749A), marking the third consecutive session in which the bill cleared the Senate but stalled in the Assembly. Prior to adjournment, sponsors Sen. Pete Harckham and Assemblymember Deborah Glick introduced nearly 150 amendments to the bill in late April 2026, aligning definitions and timelines with Minnesota and California EPR frameworks, removing five toxic substances from the bill's toxics provisions, and updating post-consumer recycled content requirements. The bill covers all packaging materials—including plastic film, bags, and other formats—and would require producers with over $5 million in annual revenue and more than 2 tons of annual packaging waste to reduce packaging by 10% within three years and 30% within 12 years.","January 10, 2025: S1464 introduced in Senate for 2025-2026 session by Sen. Harckham; companion bill A1749 introduced in Assembly by Assemblymember Glick | April 29, 2026: Nearly 150 amendments announced, bill redesignated S1464A / A1749A, aligning with Minnesota and California EPR frameworks | May 2026: Coalition of 80+ business associations issued memo opposing amended bill; supporters held Capitol press conference urging Assembly vote before June 10 adjournment deadline | Early June 2026: New York legislature adjourned without Assembly vote on PRRIA — third consecutive session the bill passed the Senate but failed in the Assembly","NY Senate Official Press Release – Harckham/Glick Amendments (April 29, 2026); NY Senate Bill S1464A (2025-2026 session) – Official Text; Waste Dive – New York EPR bill won't move forward this year (June 5, 2026); Packaging Dive – New York packaging EPR bill won't move forward in 2026 (June 5, 2026); Resource Recycling – New York packaging EPR bill faces June 10 deadline (May 27, 2026); Recycling Today – New York EPR bill undergoes sweeping amendments (May 5, 2026); News10 – New York 2026 Legislature session wrap-up (June 5, 2026)",https://www.nysenate.gov/newsroom/press-releases/2026/pete-harckham/harckham-glick-introduce-amendments-packaging-reduction ; https://www.nysenate.gov/legislation/bills/2025/S1464/amendment/A ; https://www.wastedive.com/news/new-york-epr-packaging-2026-fails-bottle-bill-dsny/822110/ ; https://www.packagingdive.com/news/new-york-epr-packaging-2026-fails-bottle-bill-dsny/822145/ ; https://resource-recycling.com/recycling/2026/05/26/new-york-packaging-epr-bill-faces-june-10-deadline/ ; https://www.recyclingtoday.com/news/new-york-packaging-epr-bill-undergoes-sweeping-amendments/ ; https://www.news10.com/capitol/data-center-pricing-bills-2026-legislature/
,NC,North Carolina,pending,"North Carolina HB 882, 'Break Free From Plastic & Forever Chemicals,' introduced April 9, 2025, is pending in the House Rules, Calendar, and Operations of the House Committee with no advancement.","HB 882 would establish a packaging EPR framework requiring producers to join a Producer Responsibility Organization, meet recycling-rate and postconsumer-content targets, and ban toxic substances including PFAS and phthalates from all packaging materials (covering plastic film, poly bags, paper, and other non-reusable packaging). The bill was referred to the House Rules Committee on April 10, 2025, where it has stalled. An earlier version of the bill (H 279, 2023 session) died in the same committee.","April 9, 2025: HB 882 introduced in the NC House by Rep. Pricey Harrison (D-Guilford) with 16 Democratic co-sponsors | April 10, 2025: Referred to House Rules, Calendar, and Operations of the House Committee — no further action recorded as of August 2026 | 2023: Predecessor bill H 279 ('Break Free from Plastics & Forever Chemicals') died in the same House Rules Committee",Proskauer Rose – EPR Packaging Law Update (July 2026); Mayer Brown – EPR Packaging Laws Moving from Concept to Compliance (Feb 2026); North Carolina Health News – Push to Hold Plastics Producers Accountable (June 2026); NC General Assembly – HB 882 Bill Lookup (Official); LegiScan – NC H882 2025-2026 Session; Compliance & Risks – Packaging EPR Expansion: New Developments Across the U.S. (May 2025),https://www.proskauer.com/alert/extended-producer-responsibility-packaging-law-update ; https://www.mayerbrown.com/en/insights/publications/2026/02/epr-packaging-laws-moving-from-concept-to-compliance ; https://www.northcarolinahealthnews.org/2026/06/23/hold-plastics-producers-accountable-in-north-carolina/ ; https://www.ncleg.gov/BillLookup/2025/H882 ; https://legiscan.com/NC/bill/H882/2025 ; https://www.complianceandrisks.com/blog/packaging-epr-expansion-new-developments-across-the-u-s/
,OK,Oklahoma,none,"Oklahoma HB 4068, a packaging environmental claims and recyclability labeling bill introduced in February 2026, stalled in committee and died when the legislature adjourned sine die on May 14, 2026. No EPR packaging law has passed or is currently pending in Oklahoma.","HB 4068 was introduced in the 2nd Session of the 60th Oklahoma Legislature (February 2026) and would have prohibited environmental marketing claims on products and packaging — including recyclability, compostability, carbon neutral, and eco-friendly claims — unless properly substantiated. The bill remained in committee with no formal votes and expired when the legislature adjourned early on May 14, 2026. Oklahoma does not carry over bills between sessions, so HB 4068 would need to be reintroduced in 2027.","HB 4068 introduced in Oklahoma House, February 2026 (2nd Session, 60th Legislature) | Bill stalled in committee — no formal votes taken | Oklahoma legislature adjourned sine die May 14, 2026 (two weeks early) | HB 4068 died at adjournment; must be reintroduced in 2027 if pursued | No EPR packaging law enacted or pending in Oklahoma as of August 2026",Compliance & Risks – Environmental Claims Under Scrutiny: U.S. Packaging Labelling Laws Explained; Sustainable Packaging Coalition – Packaging Policy Roundup (June 2026); Sustainable Packaging Coalition – Packaging Policy Roundup (July 2026); Oklahoma Legislature – HB 4068 Bill Text (Introduced); Oklahoma Legislature – HB 4068 Bill Information; Oklahoma Legislature – SB 1471 Bill Text (Introduced); OKC Fox – Oklahoma House and Senate Adjourn Sine Die for 2026 Legislative Session; MultiState – Advanced Recycling Legislative Trends During the 2026 Sessions (Oklahoma HB 3472); Holland & Knight – The Latest Pandora's Box: What You Need to Know Now About State EPR Laws; Proskauer – Extended Producer Responsibility (EPR) Packaging Law Update,https://www.complianceandrisks.com/blog/environmental-claims-under-scrutiny-u-s-packaging-labelling-laws-explained/ ; https://sustainablepackaging.org/2026/06/22/packaging-policy-news/ ; https://sustainablepackaging.org/2026/07/29/packaging-policy-news/ ; https://www.oklegislature.gov/cf_pdf/2025-26%20INT/hB/HB4068%20INT.PDF ; http://www.oklegislature.gov/BillInfo.aspx?Bill=hb4068&Session=2400 ; https://www.oklegislature.gov/cf_pdf/2025-26%20INT/SB/SB1471%20INT.PDF ; https://okcfox.com/news/local/oklahoma-house-senate-adjourn-sine-die-for-2026-legislative-session ; https://www.multistate.us/insider/2026/6/9/advanced-recycling-legislative-trends-during-the-2026-sessions ; https://www.hklaw.com/en/insights/publications/2026/01/the-latest-pandoras-box-what-you-need-to-know-now-about-state-epr-laws ; https://www.proskauer.com/alert/extended-producer-responsibility-packaging-law-update
